Name,Subscription,ResourceGroupName,Location,OsType,Size,TargetSize,AvailabilitySet
VAAZTIAMUTL300,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_D4s_v3,
VAAZTIAMWEB300,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_WEB300_CL
VAAZTIAMWEB301,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_WEB300_CL
VAAZTIAMWEB302,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_WEB300_CL
VAAZTIAMWEB303,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_WEB300_PIV
VAAZTIAMWEB304,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_WEB300_PIV
VAAZTIAMWEB308,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_WEB300_SAML
VAAZTIAMWEB309,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_WEB300_SAML
VAAZTIAMWEB310,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_WEB300_UNAUTHAMS
VAAZTIAMWEB311,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_WEB300_UNAUTHAMS
VAAZTIAMWEB312,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_WEB300_SAML
VAAZTIAMWEB313,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_WEB300_PIV
