Name,Subscription,ResourceGroupName,Location,OsType,Size,TargetSize,AvailabilitySet
VAAZVIAMWEB111,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_F4,ACSPROD_AS_WEB100_UNAUTHAMS
VAAZVIAMWEB112,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_DS3,ACSPROD_AS_WEB100_SAML
VAAZVIAMWEB113,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_DS3,ACSPROD_AS_WEB100_PIV
VAAZVIAMWEB114,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_DS3,ACSPROD_AS_WEB100_CL
VAAZVIAMWEB115,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_DS3,ACSPROD_AS_WEB100_SAML
VAAZVIAMWEB175,PROD-GOV-INTERNAL,VHICPROD-PROD-INT-EAST-RG,usgovvirginia,Linux,Standard_A4_v2,Standard_DS3,VHICPROD_AS_WEB175
VAAZVIAMWEB176,PROD-GOV-INTERNAL,VHICPROD-PROD-INT-EAST-RG,usgovvirginia,Linux,Standard_A4_v2,Standard_DS3,VHICPROD_AS_WEB175
VAAZVIAMWEB300,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_DS3,ACSPREPROD_AS_WEB300_CL
VAAZVIAMWEB301,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_DS3,ACSPREPROD_AS_WEB300_CL
VAAZVIAMWEB302,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD_AS_WEB300_PIV
VAAZVIAMWEB303,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD_AS_WEB300_PIV
VAAZVIAMWEB304,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_DS3,ACSPREPROD_AS_WEB300_WINAUTH
VAAZVIAMWEB305,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_DS3,ACSPREPROD_AS_WEB300_WINAUTH
VAAZVIAMWEB306,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD_AS_WEB300_SAML
VAAZVIAMWEB307,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD_AS_WEB300_SAML
VAAZVIAMWEB308,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD_AS_WEB300_PROV
VAAZVIAMWEB309,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD_AS_WEB300_PROV
VAAZVIAMWEB310,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD_AS_WEB300_UNAUTHAMS
VAAZVIAMWEB311,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD_AS_WEB300_UNAUTHAMS
VAAZVIAMWEB312,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD_AS_WEB300_SAML
VAAZVIAMWEB313,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD_AS_WEB300_PIV
VAAZVIAMWEB314,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_DS3,ACSPREPROD_AS_WEB300_CL
VAAZVIAMWEB315,PREPROD-GOV-INTERNAL,ACSPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD_AS_WEB300_SAML
VAAZVIAMWEB375,PREPROD-GOV-INTERNAL,VHICPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Linux,Standard_A4_v2,Standard_DS3,VHICPREPROD_AS_WEB375
VAAZVIAMWEB376,PREPROD-GOV-INTERNAL,VHICPREPROD-PREPROD-INT-EAST-RG,usgovvirginia,Linux,Standard_A4_v2,Standard_DS3,VHICPREPROD_AS_WEB375
